n,method,generator,time,node,leaf,width,buffer,threshold
33554432,elastic,zipf,1188,1536,1531,30000,33554432,30000
33554432,elastic,zipf,1161,1536,1531,30000,33554432,10000
33554432,elastic,zipf,1204,1536,1531,30000,33554432,5000
33554432,elastic,zipf,1169,1536,1531,30000,33554432,1000

33554432,cm,zipf,1188,7680,7651,400,101244573,400
33554432,cm,zipf,1197,7680,7651,400,101249055,200
33554432,cm,zipf,1202,7680,7651,400,101249478,100
33554432,cm,zipf,1163,7680,7651,400,101232471,50

33554432,tower,zipf,1166,1536,1531,400,33554432,400
33554432,tower,zipf,1168,1536,1531,400,33554432,200
33554432,tower,zipf,1178,1536,1531,400,33554432,100
33554432,tower,zipf,1198,1536,1531,400,33554432,50

33554432,elastic,zipf,1172,1536,1531,400,33554432,400
33554432,elastic,zipf,1220,1536,1531,400,33554432,200
33554432,elastic,zipf,1179,1536,1531,400,33554432,100
33554432,elastic,zipf,1162,1536,1531,400,33554432,50

33554432,tower,zipf,1169,4352,4336,200,56857165,200
33554432,tower,zipf,1169,4352,4336,200,56856305,100
33554432,tower,zipf,1175,4352,4336,200,56859361,50

33554432,elastic,zipf,1193,1536,1531,200,33554432,200
33554432,elastic,zipf,1188,1536,1531,200,33554432,100
33554432,elastic,zipf,1172,1536,1531,200,33554432,50
